Emoji,Embedding
:card_index_dividers:,"[0.0863364115357399, -0.103970006108284, 0.07547622174024582, 0.267334520816803, -0.011244603432714939, 0.07130221277475357, -0.01004263199865818, -0.07315625250339508, -0.018138064071536064, 0.03443797305226326, -0.11291486769914627, 0.02024661935865879, -0.09253298491239548, -0.2318497896194458, 0.011322436854243279, 0.04556785896420479, -0.036328624933958054, -0.01934577338397503, 0.3557423949241638, 0.16160839796066284, 0.35782840847969055, 0.15704846382141113, -0.2006784826517105, -0.36973342299461365, 0.024624619632959366, -0.05225752666592598, -0.03672879561781883, 0.09375342726707458, 0.2494315803050995, -0.1698848307132721, 0.11957832425832748, -0.007418090011924505, 0.12496714293956757, -0.21278752386569977, 0.021746734157204628, -0.19256751239299774, 0.04313996434211731, 0.0498473234474659, 0.24120570719242096, 0.02302212081849575, -0.07020607590675354, -0.06431838870048523, -0.09468608349561691, 0.034952081739902496, -0.14506810903549194, -0.033590372651815414, 0.22939391434192657, 0.31978338956832886, 0.04101838171482086, -0.1679276078939438]"
:keycap_*:,"[0.09400574862957001, 0.06436780095100403, -0.04062037914991379, -0.02837997116148472, 0.027560893446207047, -0.406082421541214, 0.006739999167621136, -0.15409451723098755, 0.02125667594373226, -0.15272986888885498, 0.0053758034482598305, -0.1588577926158905, 0.06417322158813477, 0.3199172914028168, 0.0443972684442997, -0.3161675035953522, -0.26063072681427, -0.04481147602200508, -0.03833740949630737, 0.054833702743053436, -0.18469898402690887, -6.315797509159893e-05, 0.11212371289730072, 0.13286609947681427, -0.10195503383874893, 0.2144072949886322, -0.051730766892433167, 0.13043320178985596, -0.13564004004001617, -0.02115541137754917, -0.17884290218353271, -0.11190210282802582, 0.29891934990882874, -0.10796976089477539, -0.20393602550029755, 0.1210499256849289, 0.23398567736148834, 0.01777571439743042, 0.08670740574598312, 0.08089890331029892, 0.05081474781036377, -0.09182191640138626, -0.37229683995246887, 0.46280768513679504, -0.05064703896641731, -0.28923889994621277, 0.18633627891540527, 0.11801771074533463, 0.06548161804676056, 0.04246644303202629]"
:vulcan_salute_medium-dark_skin_tone:,"[0.1857019066810608, -0.21370843052864075, -0.050103720277547836, -0.019520023837685585, 0.11848267912864685, 0.13242070376873016, -0.07974293828010559, 0.24556969106197357, 0.0627657026052475, -0.02616599015891552, -0.3172178566455841, 0.06987515091896057, -0.07625026255846024, -0.1545274555683136, -0.187395378947258, 0.13871914148330688, 0.049111366271972656, 0.04923739284276962, -0.022723471745848656, 0.14838625490665436, 0.2663024067878723, 0.16752032935619354, 0.12174087762832642, -0.1331658810377121, -0.21298865973949432, 0.11788307875394821, 0.163595512509346, 0.005752288270741701, -0.039247650653123856, 0.15727679431438446, -0.10717889666557312, 0.08756426721811295, 0.13741479814052582, -0.1512812077999115, 0.07590179890394211, 0.078187957406044, -0.020766865462064743, 0.1138075739145279, 0.17714332044124603, 0.07410149276256561, -0.2855401039123535, 0.019826186820864677, 0.0957227498292923, -0.10943980515003204, 0.0025971774011850357, 0.13656775653362274, 0.2700207829475403, -0.20987458527088165, -0.1386559158563614, -0.09690859168767929]"
:stop_button:,"[0.07411555200815201, -0.14187121391296387, -0.01622471585869789, 0.4909753203392029, -0.21174761652946472, 0.17327706515789032, 0.41155731678009033, -0.07644401490688324, 0.11825446784496307, -0.5731242895126343, -0.06446883827447891, -0.7027415633201599, -0.30801960825920105, -0.14435772597789764, -0.027503592893481255, -0.43613845109939575, 0.5276642441749573, -0.012994056567549706, -0.07600102573633194, -0.11072824895381927, 0.18718311190605164, -0.17984656989574432, -0.041364435106515884, 0.3430559039115906, -0.2454286515712738, 0.031579434871673584, 0.26251691579818726, -0.21591506898403168, -0.2662343978881836, 0.1302180141210556, 0.0783199742436409, 0.23835280537605286, -0.1194685623049736, -0.04222886264324188, -0.25450482964515686, -0.01910114288330078, 0.13575363159179688, 0.10833986848592758, 0.29824262857437134, -0.16717670857906342, 0.05196408927440643, 0.0750608742237091, -0.13171564042568207, -0.4026154577732086, 0.02127586118876934, 0.04988090321421623, -0.14543351531028748, 0.07047850638628006, -0.12672926485538483, -0.05568024143576622]"
:record_button:,"[-0.1325254887342453, 0.10570110380649567, -0.057671986520290375, 0.4383699297904968, -0.2597568929195404, 0.2817699909210205, 0.3203018605709076, 0.05760112404823303, 0.10041018575429916, -0.3884788453578949, 0.13380274176597595, -0.6162996292114258, -0.427325963973999, 0.023403910920023918, -0.18589158356189728, -0.16632407903671265, 0.5635534524917603, -0.4112866520881653, 0.10822586715221405, 0.16138507425785065, 0.39215323328971863, -0.29952171444892883, 0.02967473678290844, -0.28738394379615784, -0.4984167218208313, 0.21680110692977905, 0.3378494083881378, -0.06593576073646545, -0.5035041570663452, 0.4228478968143463, -0.10590256750583649, 0.2573784291744232, 0.025476710870862007, -0.03216766193509102, -0.16282105445861816, -0.0370926670730114, 0.10671813786029816, 0.2872457504272461, 0.2751108705997467, -0.0953119546175003, -0.10339512676000595, 0.05510712414979935, -0.3795093297958374, -0.26484447717666626, -0.2663983106613159, 0.0968519076704979, -0.3413943946361542, 0.2413891851902008, -0.36256343126296997, -0.325319766998291]"
:film_projector:,"[-0.2507972717285156, 0.10650599002838135, 0.5442094206809998, 0.3012969195842743, -0.6104555130004883, 0.4780297875404358, 0.2346687912940979, -1.2533316612243652, 0.5190139412879944, 0.20852398872375488, -0.17155694961547852, -0.26582151651382446, -0.8286537528038025, 0.4316583573818207, 0.26899728178977966, -0.39796948432922363, -0.07024221867322922, -0.08337544649839401, -0.7063636779785156, -0.6554490923881531, 0.884799063205719, 0.7244694828987122, -0.4318923056125641, 0.33445459604263306, -0.3088884949684143, 0.10378825664520264, -0.033393796533346176, 0.14210151135921478, -0.16162043809890747, -0.1630486100912094, 0.06467356532812119, -0.327903687953949, -0.002835639985278249, -0.5737106800079346, -0.08082208782434464, 0.6233275532722473, 0.46318307518959045, -0.13157200813293457, -0.6810843348503113, -0.3937036097049713, 0.5816882252693176, 0.6996883153915405, -0.5803840160369873, -0.3661426603794098, -0.5806885361671448, -0.7602454423904419, -0.2685706615447998, 0.1814425140619278, -0.20187856256961823, 0.15519052743911743]"
:orthodox_cross:,"[0.07859647274017334, -0.1189391240477562, 0.0881064236164093, 0.08259476721286774, -0.09434229880571365, 0.2178354561328888, -0.050611887127161026, 0.03534822538495064, -0.18128104507923126, -0.047884415835142136, 0.08813661336898804, -0.09174317121505737, -0.07872441411018372, 0.1458684504032135, -0.008823162876069546, 0.06339213252067566, 0.04115859791636467, 0.3151342570781708, 0.04008592292666435, -0.12260089814662933, -0.17290283739566803, -0.027274813503026962, 0.029589161276817322, -0.07369139045476913, 0.014711715281009674, -0.027917323634028435, -0.04779159650206566, 0.12465553730726242, 0.005288942251354456, 0.083898164331913, 0.2859175503253937, 0.05607043579220772, 0.012509557418525219, -0.10380318760871887, 0.16117489337921143, 0.19217419624328613, 0.027033289894461632, -0.07520147413015366, -0.08577269315719604, 0.13299055397510529, 0.12082413583993912, -0.0961494967341423, 0.02311277575790882, 0.13717831671237946, -0.0787685215473175, -0.18401095271110535, -0.06994257122278214, 0.0336492657661438, -0.17098087072372437, 0.17780618369579315]"
:spider:,"[0.33002766966819763, -0.5158205032348633, 0.08663146942853928, 0.20882581174373627, -0.0895993635058403, 0.3407520651817322, 0.25634053349494934, -0.11963964253664017, 0.15406711399555206, -0.18005910515785217, -0.12321800738573074, 0.14970290660858154, -0.1709023118019104, 0.04023342952132225, 0.3289654850959778, -0.22779348492622375, 0.24526463449001312, -0.2981205880641937, 0.10731462389230728, -0.12660764157772064, -0.12346585094928741, 0.07752736657857895, 0.23403777182102203, -0.022373661398887634, 0.19706414639949799, 0.185873880982399, 0.1644454449415207, -0.32046884298324585, 0.019200747832655907, -0.48040303587913513, -0.22300215065479279, -0.015159246511757374, 0.07061541080474854, 0.21537691354751587, -0.0691298395395279, -0.07500754296779633, -0.21716244518756866, -0.1263890415430069, 0.206379234790802, 0.010344075039029121, -0.18804025650024414, 0.47985681891441345, 0.19584408402442932, 0.12370211631059647, 0.13949453830718994, 0.004205054137855768, 0.21271371841430664, -0.2566143274307251, -0.207228884100914, -0.015004380606114864]"
:passenger_ship:,"[0.2451302856206894, 0.007904418744146824, 0.24307605624198914, -0.09105100482702255, -0.07624287903308868, 0.1789100617170334, -0.20639757812023163, 0.1078292727470398, 0.12933318316936493, 0.18439698219299316, 0.09155174344778061, -0.02709684893488884, 0.07904773205518723, -0.13528145849704742, -0.2998180091381073, 0.10380934178829193, 0.20140668749809265, 0.31462809443473816, -0.12041225284337997, 0.07888796925544739, -0.010177657008171082, -0.2388581931591034, -0.523544192314148, 0.3886014521121979, 0.06040026247501373, -0.0491289347410202, 0.665888786315918, 0.2894991636276245, 0.14857494831085205, 0.45183834433555603, -0.14822867512702942, -0.24234989285469055, 0.028206784278154373, 0.41123560070991516, -0.04490480199456215, -0.300935834646225, 0.08503923565149307, 0.2987360656261444, -0.3593102693557739, -0.043526675552129745, 0.21401217579841614, -0.06183265149593353, 0.3621716797351837, 0.025463737547397614, -0.46613651514053345, 0.0016501606442034245, -0.3610767126083374, 0.47956952452659607, 0.23104402422904968, -0.1276908665895462]"
:scorpion:,"[0.024357954040169716, -0.09124493598937988, 0.1401056945323944, 0.031593985855579376, -0.047249890863895416, -0.21135742962360382, 0.28271031379699707, -0.05872189998626709, 0.020775659009814262, -0.044340237975120544, 0.008209849707782269, 0.026098910719156265, 0.15266790986061096, -0.09598609060049057, -0.04589845985174179, -0.1411757469177246, -0.19147655367851257, 0.0018918566638603806, -0.02241729013621807, 0.1547844409942627, -0.08112003654241562, -0.07978323101997375, 0.1544705331325531, -0.07037511467933655, -0.03730987384915352, 0.06317531317472458, -0.20181483030319214, 0.029894016683101654, -0.0015792979393154383, 0.157889261841774, -0.12046472728252411, -0.307363897562027, -0.1893770694732666, 0.12166567146778107, 0.018314074724912643, -0.17324446141719818, 0.050881724804639816, -0.03977704048156738, -0.1195482462644577, -0.09474274516105652, 0.013653544709086418, -0.06574822217226028, -0.11003948003053665, -0.07562416046857834, -0.10503515601158142, -0.008104399777948856, 0.012430723756551743, -0.07664669305086136, -0.1147196963429451, -0.04246792197227478]"
