Emoji,Embedding
:card_index_dividers:,"[-0.14503194391727448, 1.1870113611221313, -1.570537805557251, 1.0377540588378906, 0.5947815775871277, 0.7370030879974365, 0.2418801486492157, 0.23383629322052002, 0.13861581683158875, -0.1581726372241974, -0.3937177062034607, -0.2782951891422272, -0.6132034063339233, -1.3605214357376099, -0.0012370547046884894, 0.8697152733802795, -0.3041270971298218, -0.3023928105831146, 0.12031165510416031, 0.40428972244262695, 0.09372396022081375, -0.1787063032388687, -0.7441449761390686, -0.2870810627937317, 1.4681447744369507, 1.2275203466415405, -0.20115149021148682, -1.1381648778915405, 1.2669050693511963, -0.4374615252017975, 0.30174776911735535, -1.1879053115844727, 0.8941534757614136, -0.9506136775016785, -0.5348732471466064, -0.9617486000061035, -0.4964013695716858, 0.34930822253227234, -0.10285373777151108, -0.7880976796150208, 0.46950849890708923, -0.5136004090309143, 0.6614809036254883, -0.23721683025360107, 0.4318084120750427, -1.0385535955429077, -0.13486281037330627, 0.35123854875564575, 0.9085862040519714, 0.051289040595293045]"
:keycap_*:,"[1.0055558681488037, 0.9327903985977173, 0.5341356992721558, 0.3430823087692261, -0.7892722487449646, -1.4321503639221191, -0.28311797976493835, 0.4317297339439392, 0.8450446724891663, 0.8657172918319702, 1.2552311420440674, -2.665184497833252, 0.7076740860939026, 0.4341563880443573, 0.1993902325630188, -0.4578826427459717, -0.5464997887611389, -0.6482353806495667, -0.8705754280090332, -0.8535563349723816, -0.01904318667948246, 1.748077630996704, -0.16654303669929504, 1.1120516061782837, 1.766106367111206, 1.1674771308898926, -1.4715228080749512, 0.5575187802314758, -1.0658190250396729, -0.39704033732414246, -0.7134502530097961, -0.22939173877239227, -0.6012877225875854, 1.3195170164108276, -0.5252737998962402, 1.5002280473709106, -1.6331202983856201, 0.08566553145647049, 1.2914445400238037, 0.005696984939277172, 0.6880438327789307, -0.6504414677619934, -0.8076211214065552, 1.3404998779296875, 0.14929667115211487, -0.18900521099567413, 0.21873168647289276, 1.4028030633926392, 0.24470841884613037, 0.059804677963256836]"
:vulcan_salute_medium-dark_skin_tone:,"[0.6568111777305603, -1.032161831855774, 0.43523073196411133, 0.8184030652046204, 0.7830865383148193, 0.45426249504089355, -0.22971418499946594, -0.18168415129184723, 0.47746190428733826, -0.06471767276525497, 0.015484070405364037, -1.3440669775009155, -0.8413044214248657, -0.712238609790802, 0.7867079973220825, -0.5546702742576599, 0.839737594127655, 0.8883563876152039, 0.700194239616394, 0.9366617798805237, 1.3787444829940796, -0.5462040901184082, 0.40739545226097107, -0.1620066612958908, -0.03533428534865379, 0.16411779820919037, -0.4436042904853821, -0.8449594378471375, -0.40707576274871826, 0.1735968440771103, -0.9452774524688721, 0.6676399111747742, 0.9096355438232422, -0.3275276720523834, 0.883930504322052, -0.44326168298721313, -0.04859104007482529, 0.2237936109304428, -0.37188008427619934, 0.29689130187034607, -0.6958228349685669, -0.8066790699958801, 0.2976909279823303, 0.7738119959831238, 0.4376407265663147, 0.725181519985199, -0.8273652791976929, -1.5726053714752197, 0.8107433319091797, 0.2940509617328644]"
:stop_button:,"[-0.4865594208240509, -0.7997763156890869, -0.412066787481308, 0.6764299869537354, -0.9896450638771057, 0.8968424201011658, 0.3208732306957245, 0.8080123066902161, 1.5341286659240723, -2.1158812046051025, 0.10756349563598633, -0.10746157169342041, 0.5557131767272949, 0.5662407875061035, -0.558692216873169, -0.14967359602451324, 1.362022042274475, 1.0725891590118408, -1.6220786571502686, 0.5225639939308167, -0.6501455903053284, 0.2956925332546234, 1.1943577527999878, -0.40694743394851685, -0.19218680262565613, -0.5297992825508118, 0.31854048371315, 1.514571189880371, -0.3820495009422302, 0.9129416346549988, 1.1176973581314087, 0.29410287737846375, 0.6222159266471863, 1.1884047985076904, -0.9825664758682251, 0.03621218726038933, 1.1838924884796143, -1.2115247249603271, -1.0994151830673218, -1.3011577129364014, -0.1254016011953354, -0.4219599962234497, 0.3899076581001282, 0.2611348032951355, 0.3873575031757355, 0.8029018044471741, -0.2383500188589096, 0.7071651816368103, -0.599220871925354, 0.49617883563041687]"
:record_button:,"[-0.6531922221183777, -0.4877032935619354, 1.041263461112976, 0.5611506104469299, 0.27317938208580017, 0.9533146023750305, -0.2503395974636078, 1.3652211427688599, 1.2359975576400757, -2.3013055324554443, 1.1506422758102417, -1.0505152940750122, -0.7552943229675293, -1.25173819065094, 1.025412917137146, 0.11512073129415512, 0.3014051914215088, -0.02359333261847496, -0.5781823396682739, 1.074625849723816, 0.07877177745103836, -0.04544593393802643, -1.2084439992904663, -0.3973027765750885, -0.4705289304256439, 0.42395341396331787, -0.3457162082195282, 0.9019513726234436, -0.21279093623161316, 1.8298698663711548, 0.6540971398353577, 0.106727734208107, -0.5310118794441223, 1.575777292251587, -0.11832115799188614, -0.0025558732450008392, -0.6163577437400818, -1.6886180639266968, 0.41690540313720703, -0.757443904876709, -0.37859460711479187, 0.7744726538658142, -1.4468141794204712, 0.7329911589622498, -0.32524895668029785, -1.259486436843872, -0.6600976586341858, -0.4619779586791992, -1.5442328453063965, -0.14328289031982422]"
:film_projector:,"[0.621342658996582, 2.2257840633392334, -0.7307732105255127, 0.4241441786289215, -0.4823416471481323, -0.7176423072814941, -3.0583839416503906, -0.9368737936019897, 2.001971483230591, 0.12900814414024353, 0.7376880049705505, -0.9594396948814392, -1.2433388233184814, -2.1778061389923096, -1.1450473070144653, 0.18118789792060852, -0.004241481889039278, -0.7443322539329529, -2.2589221000671387, 0.7562527060508728, -0.15369941294193268, -0.04462316632270813, -1.0853122472763062, 0.7319204211235046, 0.7438292503356934, -2.582930564880371, 1.4326320886611938, -0.5437790155410767, -0.25470295548439026, -0.1979856640100479, -2.409651517868042, 2.821356773376465, 2.5912046432495117, -0.905851423740387, 0.3918241858482361, 1.2223801612854004, 0.3767387866973877, -3.147196054458618, -2.350996732711792, -0.22965353727340698, 1.500211238861084, 0.5009231567382812, -0.49004101753234863, -0.2516412138938904, -0.8744058609008789, -0.7288907766342163, -0.37928396463394165, 1.767503023147583, 1.512576699256897, 0.3938986361026764]"
:orthodox_cross:,"[0.9522666931152344, 0.13705286383628845, 0.41086825728416443, 0.882567286491394, -1.098815679550171, -0.21640580892562866, 0.5654683113098145, -1.0926991701126099, -0.07105980813503265, -0.7714329361915588, 0.40382131934165955, 0.7991308569908142, 0.11853919923305511, -0.20766876637935638, -0.03628486767411232, 0.5883445143699646, -0.7169834971427917, 0.00623102905228734, 0.537345826625824, -0.603304922580719, -1.607938528060913, 0.27152904868125916, -0.11477348208427429, 0.42585334181785583, 0.28298288583755493, -1.1234383583068848, 0.59614497423172, -0.199387788772583, 1.248777985572815, 0.9419546723365784, -0.40700802206993103, -1.6397993564605713, 1.535250186920166, -0.9150304794311523, -0.36358892917633057, 0.11751401424407959, 0.5551180839538574, -0.5437350273132324, -0.8929601907730103, -0.09481386095285416, -0.25302258133888245, -1.6790322065353394, 0.0760410949587822, 0.2735731899738312, -0.6619328260421753, -0.29242461919784546, 0.05236935615539551, 0.40386077761650085, -0.11934523284435272, -1.0273042917251587]"
:spider:,"[0.16900771856307983, -2.1602306365966797, -0.6733152270317078, 1.1289700269699097, 0.9128056764602661, 1.095825433731079, -0.6334006786346436, 0.904153048992157, -0.49983081221580505, -0.7048549056053162, -1.5801812410354614, 0.0322270393371582, 1.3342373371124268, 0.06296323239803314, 1.1665250062942505, 1.1826057434082031, 1.6491481065750122, -1.8219341039657593, -1.6812374591827393, -0.05848126485943794, 1.1422091722488403, 0.4320829212665558, 1.302345871925354, -1.3627409934997559, 0.006120316684246063, 0.31709131598472595, -2.0381226539611816, -0.5477661490440369, -1.4597481489181519, -0.5718829035758972, -0.5180439352989197, 1.1166423559188843, -1.284048080444336, 0.5853238105773926, 0.36145639419555664, -1.019917607307434, -1.1411443948745728, -1.5817066431045532, 1.9580161571502686, 0.012828062288463116, -0.13210494816303253, -0.07534608244895935, 3.0529403686523438, -0.3937775790691376, 0.9426604509353638, 0.07180990278720856, -0.4339584410190582, 0.7384679317474365, 0.3536587655544281, 0.7118434309959412]"
:passenger_ship:,"[-0.04235555976629257, -0.5235784649848938, -1.4726017713546753, 1.1091651916503906, 0.5674529671669006, 0.7281222939491272, 0.6463449001312256, 0.45235034823417664, 0.12838730216026306, -0.7615695595741272, -2.1265029907226562, -2.6181998252868652, 1.786157488822937, -0.650114893913269, -0.15546536445617676, 2.0056350231170654, 1.6024096012115479, -0.20262281596660614, 0.4409225285053253, -0.6524476408958435, -0.05248136445879936, 0.06481490284204483, -2.5651841163635254, 1.049440860748291, 0.4034048914909363, 0.7510928511619568, 1.200292706489563, 1.1516391038894653, 1.4027750492095947, 1.273856520652771, -0.22074522078037262, 0.368104487657547, -0.42967116832733154, 0.12098491191864014, 1.0085563659667969, -0.39400291442871094, -1.1503900289535522, 1.3448550701141357, -0.4680367112159729, 0.8823029398918152, -0.09404163062572479, 1.4581462144851685, -0.2440076470375061, 0.6290569305419922, -1.4986562728881836, 0.02996658906340599, 1.0227769613265991, 0.6006689071655273, -0.9574776887893677, 0.6012195944786072]"
:scorpion:,"[0.4387013912200928, 0.8524608612060547, -0.1435917764902115, -0.9013057947158813, 0.31935882568359375, 1.223515272140503, 1.2071833610534668, -0.28851771354675293, -0.33890849351882935, 0.05610409751534462, -0.22486649453639984, -0.9302151203155518, -0.30786609649658203, -1.0066598653793335, -0.7630109190940857, -0.054198008030653, -0.26133111119270325, -0.40546366572380066, 1.4464055299758911, 0.5666435360908508, 0.9216513633728027, -0.7769973278045654, 0.4507450759410858, 0.2595006227493286, 1.0467883348464966, -0.8095073103904724, -0.54268878698349, 1.0826308727264404, -0.40567222237586975, 1.0781581401824951, -0.0814104899764061, 0.553510844707489, -1.047211766242981, -0.6404948830604553, 0.8384062051773071, 1.489687204360962, 0.5534588098526001, -0.36112651228904724, -0.6397646069526672, 1.1155437231063843, -0.22874268889427185, -0.8943729996681213, 1.0759166479110718, -0.12802472710609436, -0.369636595249176, 0.9923666715621948, 0.20813727378845215, -1.4799467325210571, -0.4362913966178894, 0.8265334963798523]"
