Emoji,Embedding
:card_index_dividers:,"[1.0836679935455322, -0.8823855519294739, -0.9467204809188843, 0.34362566471099854, 0.7523300647735596, -0.4761488735675812, 0.02116069197654724, 1.3593297004699707, 0.2183910757303238, 1.166325330734253, -0.8440157175064087, 0.43612849712371826, 1.622771978378296, 1.370436191558838, -0.5459588766098022, 0.21953918039798737, -1.1970250606536865, 2.267307758331299, 1.9117624759674072, -2.0701358318328857, 0.3170471489429474, 0.4253924787044525, 0.546314001083374, -0.20615394413471222, 0.4714928865432739, 0.49780741333961487, 1.6265901327133179, -0.9300543069839478, 0.5228711366653442, 1.0653514862060547, 0.48226332664489746, 0.7906001806259155, 0.873041033744812, -0.6246185302734375, 1.3017303943634033, 0.3202619254589081, -0.523352324962616, -0.9996049404144287, -1.011689305305481, -0.3401813507080078, 0.5480962991714478, 1.0278927087783813, -2.122805595397949, -0.8300938606262207, -0.27651774883270264, 0.48369553685188293, 1.2696194648742676, -0.4867746829986572, 0.21260356903076172, 0.8653296232223511]"
:keycap_*:,"[1.122188687324524, 0.2731432318687439, -1.3878259658813477, 0.2872905135154724, 0.12099401652812958, -1.8857017755508423, -0.5081961154937744, -0.03990522027015686, 0.5927654504776001, 0.7637824416160583, -0.880342960357666, 0.914783775806427, -0.10312837362289429, 1.6093693971633911, -0.4568496346473694, 0.037714168429374695, -0.7932309508323669, 0.5956954956054688, 1.209298849105835, -2.1501054763793945, 0.9280902147293091, 0.02036970481276512, 0.91265869140625, -0.06598376482725143, -0.1409217119216919, 1.877150297164917, 2.2378876209259033, 0.39179742336273193, 0.37731680274009705, 1.3627333641052246, 0.9227878451347351, 0.1550671011209488, 1.2811098098754883, 0.07830823957920074, 0.20999842882156372, 1.1909301280975342, -0.009566068649291992, -0.8798044919967651, -0.9592626094818115, -0.9496755599975586, -1.0013196468353271, 0.9460490942001343, -0.7311762571334839, -0.9132106304168701, 0.30569374561309814, 0.064430370926857, 0.7586696147918701, 1.38764226436615, -0.7465071082115173, 1.3194814920425415]"
:vulcan_salute_medium-dark_skin_tone:,"[0.05792698264122009, 0.3913949728012085, -0.6672077178955078, -0.6969994306564331, 0.6763674020767212, -1.4554288387298584, -0.2986049950122833, -0.4478091597557068, -0.27247315645217896, -0.2618386149406433, 0.5788640975952148, 0.7032475471496582, 0.7519673109054565, 1.6750545501708984, 0.5396947860717773, 0.48356103897094727, -0.9372628927230835, 0.922311544418335, 1.655293345451355, -2.22172212600708, 1.462575912475586, 0.792080819606781, -0.32402336597442627, 0.4287477433681488, -0.18462947010993958, 0.005461335182189941, 1.0518293380737305, 0.9390057325363159, 0.9819544553756714, -0.20228150486946106, 0.7078803181648254, 0.4051063656806946, 1.473694086074829, 0.6899139285087585, 0.32468926906585693, 1.3243521451950073, -0.10688430070877075, 0.06564164161682129, -0.973942220211029, -0.18519920110702515, 0.612824559211731, 0.9327077865600586, -1.443949580192566, -0.5350764989852905, 0.6263288259506226, -0.11903700977563858, 1.3278002738952637, 0.8324154615402222, 0.2423071265220642, 0.9949278831481934]"
:stop_button:,"[1.0707476139068604, 0.5266555547714233, -2.1843528747558594, -0.6148841381072998, -0.34417206048965454, -0.9256728291511536, 0.6525601148605347, 1.4117082357406616, 0.6016124486923218, 0.6183096766471863, 0.053333014249801636, 0.16934078931808472, 1.543702483177185, 0.7144545316696167, 0.06605395674705505, 0.4110110402107239, -0.8937370777130127, 2.5578951835632324, 0.4883851706981659, -0.09142100811004639, 0.3334091007709503, -0.005569282919168472, -1.076650619506836, -0.5258605480194092, -1.6189357042312622, -0.08998829126358032, 2.299356698989868, 0.8660353422164917, -0.4177909791469574, 1.1362875699996948, 0.8279216289520264, 0.06488962471485138, 1.5868151187896729, 0.38456273078918457, 1.5813826322555542, 0.16128098964691162, -1.6955959796905518, -0.33233219385147095, -0.8935390710830688, -0.9403835535049438, -0.7997546792030334, 0.5991290211677551, -0.8212924003601074, -0.20281237363815308, 0.25106608867645264, -0.7468682527542114, 0.07620346546173096, 0.4716171622276306, -1.323327660560608, 2.0398950576782227]"
:record_button:,"[-0.10552194714546204, -0.28936052322387695, -2.164984703063965, 1.1419057846069336, 0.7899346947669983, -2.266375780105591, 0.0010368824005126953, -0.5484570860862732, 1.7982819080352783, -0.21812653541564941, 0.7389965057373047, 0.07432975620031357, 0.30109119415283203, 0.1824718713760376, 0.12122480571269989, -1.5000619888305664, -1.7753691673278809, 1.261732578277588, 0.16255426406860352, -0.35566627979278564, 0.5910075902938843, 0.9878542423248291, -0.7527494430541992, 0.8034171462059021, 0.27890998125076294, -0.017283082008361816, 3.0439767837524414, 0.9301681518554688, -0.056978508830070496, -0.8935379981994629, 0.5305415987968445, -0.1665957272052765, 0.6836162805557251, -1.1091581583023071, 2.2398734092712402, 1.016070008277893, -1.0435161590576172, -0.5727448463439941, -0.23794353008270264, -1.7273467779159546, 1.0665429830551147, 0.7850816249847412, -2.10408878326416, -1.1718378067016602, 0.6714721918106079, -0.8020752668380737, -0.05598282814025879, 0.1829189956188202, 0.5455121397972107, 1.4613116979599]"
:film_projector:,"[0.42566800117492676, -0.003939211368560791, -0.5435355305671692, -0.46358081698417664, 0.17683997750282288, -0.4291260242462158, 1.2906849384307861, -0.3025857210159302, 0.13050678372383118, -0.25255799293518066, -0.41852548718452454, 0.95872563123703, 1.4952033758163452, 1.4402285814285278, -0.18504326045513153, -0.07723182439804077, -0.03319734334945679, 2.4553608894348145, 2.1543774604797363, -2.2433340549468994, 1.0437625646591187, -0.39626777172088623, 0.06362634897232056, -0.12258748710155487, -1.5538568496704102, 2.2659406661987305, 1.2099705934524536, 0.36326923966407776, 0.6977146863937378, -0.14073318243026733, 0.8542840480804443, -1.008331298828125, 0.6145851612091064, -1.2542140483856201, 1.9314358234405518, 0.27609631419181824, -1.2079923152923584, 0.15742218494415283, 0.39475417137145996, -0.5912156105041504, 0.013044368475675583, 0.26546692848205566, -2.1130154132843018, 0.09568536281585693, -0.36982905864715576, 1.3767253160476685, 0.2077452540397644, -0.031111598014831543, -0.46793973445892334, 2.0059683322906494]"
:orthodox_cross:,"[0.6862428188323975, 0.12797904014587402, -1.6452398300170898, -0.34438276290893555, 0.6408026218414307, -1.3919694423675537, 1.0309925079345703, 0.40570905804634094, 0.10992500185966492, 0.06385037302970886, 0.3920116126537323, 0.2938096523284912, 0.7155897617340088, 1.0565391778945923, 0.5989561080932617, -1.0061627626419067, -1.5180152654647827, 1.4012677669525146, 1.5651183128356934, -0.9134932160377502, 1.0729146003723145, -0.38777387142181396, 0.20792576670646667, -0.3214288651943207, 0.46255069971084595, 0.5896401405334473, 2.263965606689453, -0.08411073684692383, -0.49920621514320374, 0.21642743051052094, -0.6246483325958252, -0.770603597164154, 0.47368502616882324, -0.21840797364711761, 0.3108336925506592, 0.9509900212287903, -1.610843300819397, -1.254608154296875, -0.3993336260318756, -1.099764347076416, 0.40506771206855774, 0.7284674644470215, -1.4652692079544067, 0.00991278886795044, 0.6255879402160645, -0.3554452061653137, 0.5653282999992371, 0.43631553649902344, 0.2459019422531128, 1.7513436079025269]"
:spider:,"[-0.20128920674324036, -1.0436252355575562, -2.1735920906066895, 1.304336667060852, 0.7411854863166809, -0.5649619102478027, 0.43828946352005005, -0.627598762512207, 0.05958619713783264, -0.2505456209182739, -1.0565141439437866, 1.0768442153930664, 1.525273323059082, 0.7175024151802063, -0.38276243209838867, -0.38498732447624207, -1.1696698665618896, 1.9295084476470947, 1.810915470123291, -2.393141269683838, 1.3787199258804321, -0.9431362152099609, -1.4724875688552856, 0.11430047452449799, -0.8502774238586426, 1.851057529449463, 1.1932107210159302, 0.7717069387435913, -0.09665572643280029, 1.214443325996399, -0.23701122403144836, 0.5648248791694641, 0.41363412141799927, -0.2342178076505661, 0.301058828830719, -0.07587605714797974, -1.8084228038787842, 0.03430172801017761, -0.5035777688026428, -1.3772032260894775, -0.26974666118621826, -0.13966873288154602, -1.7424858808517456, -0.3719046413898468, 0.9141011238098145, -0.36861756443977356, 0.5299023389816284, 0.941055178642273, -0.16658815741539001, 2.2640089988708496]"
:passenger_ship:,"[0.690075695514679, -0.40468084812164307, -0.512258768081665, 0.8529223203659058, 0.27272552251815796, -0.9998761415481567, 0.6272212862968445, -0.3180498480796814, -0.31857573986053467, -0.049461960792541504, -0.017724215984344482, -0.005577489733695984, 0.11668476462364197, 2.1024725437164307, 0.8382381796836853, -0.8681973814964294, -0.26038479804992676, 2.422255754470825, 0.9840656518936157, -2.5563766956329346, 0.3867442309856415, -0.23895540833473206, -1.057742953300476, -0.7187895178794861, 0.5766336917877197, 1.1345173120498657, 2.4881725311279297, 1.0584408044815063, -0.43746861815452576, -0.4240669012069702, -0.0006027519702911377, 0.767794668674469, -0.14094138145446777, -0.3790855407714844, 2.413184642791748, -0.1835673451423645, -0.6921197772026062, 0.41881418228149414, -0.3945924639701843, -1.7497910261154175, 1.0438756942749023, -0.38269829750061035, -1.231194019317627, 0.20518523454666138, -0.015131175518035889, 0.14133185148239136, 0.9233369827270508, 0.8638675808906555, 0.11201715469360352, 0.5997932553291321]"
:scorpion:,"[0.3444598913192749, 0.5264597535133362, -0.5517562627792358, -0.7559640407562256, 1.0655419826507568, -1.7442823648452759, 0.3352864980697632, -0.5706771612167358, -0.2656131982803345, 1.1578714847564697, -1.0520896911621094, -0.8097037076950073, 0.8468295931816101, 0.9214398860931396, -0.5811704397201538, 0.3151116967201233, -0.5144715309143066, 2.45473575592041, 1.5703028440475464, -1.0776691436767578, 0.2914320230484009, 0.7163110375404358, -0.4571189880371094, 0.6901676654815674, 0.2503173351287842, 1.5040059089660645, 1.2395038604736328, 0.9129902124404907, -0.10543632507324219, -0.5342754125595093, 0.6583786010742188, 0.5721496939659119, 0.8117730617523193, -0.27221715450286865, 1.8170294761657715, 0.9167922735214233, -1.5225393772125244, -1.128324270248413, -0.6795576810836792, -0.7312153577804565, -0.6094955205917358, -0.6116530895233154, -1.6724997758865356, 0.0396500825881958, 1.0658164024353027, 0.033316582441329956, 0.7747572064399719, 1.3831064701080322, -0.5078913569450378, 1.6801143884658813]"
