Emoji,Embedding
:man_vampire_medium-dark_skin_tone:,"[-0.07715072482824326, 0.4444715976715088, -0.9117468595504761, 0.1534503549337387, 0.37572669982910156, -0.9742517471313477, 0.6933974027633667, -0.8842720985412598, -0.5754116773605347, -0.7756733894348145, -0.8958011865615845, -0.7461657524108887, 0.10191140323877335, -0.06450869888067245, 0.3421630263328552, -0.7097398638725281, -0.6404280662536621, 0.8504396677017212, 0.3735317587852478, 0.4684707820415497, 0.7473301887512207, -0.25499799847602844, -0.6830942630767822, 0.6127842664718628, -0.607422947883606, 0.2697073519229889, -0.05898530036211014, -0.7775309085845947, 0.5699524879455566, 0.3092024326324463, 0.02077292464673519, 0.34455662965774536, -0.628740668296814, 0.21325556933879852, 0.5212347507476807, -0.15763069689273834, -0.6476113796234131, -0.2841489911079407, 0.07320531457662582, -0.28297775983810425, -0.5437805652618408, 0.9588866233825684, -0.28273651003837585, -0.811562716960907, 0.7792067527770996, 0.410415917634964, 0.03558852896094322, -0.4334193468093872, 0.9014712572097778, 0.6913324594497681]"
:motorized_wheelchair:,"[-0.5129613280296326, -0.8719598650932312, -0.04856870695948601, -0.40344101190567017, 0.6673852205276489, 0.44128474593162537, 0.7770191431045532, -0.04487418010830879, -0.8616378307342529, 0.9224337935447693, -0.9301118850708008, 0.4374912977218628, 0.01824546605348587, 0.7184234857559204, -0.17478317022323608, 0.36109596490859985, -0.011897838674485683, 0.04291294515132904, 0.25324416160583496, -0.5246819257736206, 0.24059776961803436, 0.5973269939422607, 0.30877426266670227, -0.301679790019989, 0.4930889904499054, -0.5315618515014648, -0.019001813605427742, 0.8780642151832581, 0.8245741724967957, 0.2547908425331116, 0.9961069822311401, -0.3942190110683441, -0.2497725635766983, 0.5961025953292847, 0.469143271446228, -0.5748534202575684, 0.7653623819351196, -0.3775794506072998, 0.9857997894287109, -0.7901291847229004, -0.3739786446094513, -0.8716877698898315, 0.2296258807182312, 0.4161665439605713, -0.5378855466842651, -0.4657987058162689, -0.17036908864974976, 0.213759645819664, -0.6041725873947144, -0.7784299254417419]"
:manual_wheelchair:,"[-0.7035070061683655, 0.3297295570373535, -0.06536237895488739, -0.3612610101699829, -0.5096380710601807, 0.1766861230134964, 0.46816396713256836, 0.7415599822998047, 0.8820907473564148, -0.1288388967514038, -0.3660461902618408, -0.05760538950562477, -0.36690595746040344, -0.051195256412029266, 0.877885103225708, 0.5439540147781372, -0.5504635572433472, 0.587027370929718, -0.7544305920600891, -0.391094833612442, -0.16331802308559418, -0.6852821111679077, 0.3753984272480011, 0.2693111300468445, 0.06480041891336441, -0.040935683995485306, 0.7922634482383728, 0.8773118853569031, 0.5401684641838074, 0.23969295620918274, -0.7785669565200806, 0.7617812752723694, -0.6156331896781921, -0.5247946977615356, -0.7947695255279541, 0.15746735036373138, -0.9007089138031006, -0.4890426993370056, 0.7167353630065918, 0.6452462077140808, -0.053388338536024094, -0.6643881797790527, -0.38710159063339233, 0.041622593998909, 0.08682034909725189, -0.8632190823554993, -0.3446379005908966, 0.6144291758537292, -0.24322982132434845, 0.3095240294933319]"
:man_raising_hand_medium-light_skin_tone:,"[-0.9953672885894775, 0.5400111675262451, -0.9545376300811768, 0.14832332730293274, 0.4317687451839447, 0.8310638666152954, 0.9278459548950195, 0.16726063191890717, 0.3135119378566742, 0.594631552696228, -0.7894562482833862, 0.34361934661865234, 0.08279092609882355, 0.2505432665348053, -0.3798130750656128, 0.7989261150360107, -0.3207645118236542, 0.9929287433624268, -0.05055274814367294, -0.4275101125240326, -0.65887451171875, 0.7477572560310364, -0.010699029080569744, -0.18251590430736542, 0.08604905754327774, -0.12937603890895844, 0.3299873471260071, 0.9585103392601013, -0.41098177433013916, 0.0014927781885489821, 0.39355477690696716, -0.25966963171958923, -0.505772054195404, -0.3825201988220215, -0.26827505230903625, -0.8596839904785156, -0.40065905451774597, -0.9863139390945435, 0.3362099826335907, -0.36532479524612427, -0.6277244091033936, -0.6744539737701416, 0.1608724147081375, 0.17454399168491364, 0.6077502369880676, 0.8265596628189087, 0.9118638038635254, -0.5564717650413513, 0.9011859893798828, 0.3466082811355591]"
:deaf_man_medium-dark_skin_tone:,"[-0.753473699092865, -0.20495274662971497, -0.641731858253479, -0.6699179410934448, -0.7327044606208801, 0.07601675391197205, 0.5630054473876953, 0.13037756085395813, -0.4838447570800781, -0.3849000036716461, -0.7216858863830566, 0.865088701248169, 0.9916520118713379, 0.7610883712768555, -0.36994531750679016, 0.6235074996948242, 0.35101357102394104, -0.921394407749176, -0.12270795553922653, 0.9080655574798584, 0.2886379361152649, -0.41176190972328186, 0.1957022249698639, 0.3504389524459839, 0.8749000430107117, -0.7175493836402893, -0.8691510558128357, 0.7162629961967468, 0.39083340764045715, -0.23264580965042114, 0.06284492462873459, -0.7704710960388184, -0.5228772163391113, -0.07041846215724945, 0.05005451291799545, -0.309241384267807, 0.9180157780647278, -0.4909932613372803, 0.48074284195899963, 0.2206631451845169, 0.9201383590698242, -0.35595715045928955, 0.5368992686271667, -0.5547876358032227, -0.07129453122615814, 0.534386932849884, -0.4807808995246887, -0.6862779259681702, -0.9504748582839966, -0.8889983892440796]"
:health_worker:,"[-0.1077721118927002, 0.27226051688194275, 0.13296477496623993, 0.5121461749076843, 0.36536094546318054, -0.560765266418457, -0.7190952897071838, -0.336320698261261, 0.2242104560136795, 0.20441578328609467, -0.05888760834932327, 0.1789255440235138, 0.5268058180809021, 0.19506479799747467, 0.6837175488471985, -0.40445321798324585, -0.1733894944190979, -0.1905306726694107, 0.12603415548801422, 0.011300880461931229, 0.843445897102356, 0.19653786718845367, 0.9457665085792542, -0.7687046527862549, 0.7719508409500122, 0.058918457478284836, 0.8580142855644226, -0.9407668113708496, -0.6889709830284119, -0.805997371673584, -0.6629688143730164, 0.22671015560626984, -0.5757268667221069, -0.07473205775022507, -0.21530568599700928, -0.8461556434631348, 0.32989001274108887, 0.4272512197494507, 0.7989858388900757, -0.16389331221580505, 0.03939810395240784, -0.6333901882171631, -0.7446862459182739, -0.4657619297504425, -0.21237000823020935, -0.01462977658957243, -0.8724067211151123, 0.9440416097640991, 0.9905844926834106, -0.8153279423713684]"
:nepal:,"[0.8508309125900269, -0.5021992921829224, 0.9158998727798462, 0.5378361940383911, -0.3350818157196045, -0.7611348628997803, 0.7083789110183716, 0.789395809173584, -0.05047314986586571, 0.016585497185587883, -0.24448895454406738, -0.483870267868042, 0.5863075256347656, -0.8772825002670288, 0.5705054998397827, -0.3647499084472656, 0.4695664644241333, 0.8456302881240845, 0.7342123985290527, 0.2520170211791992, 0.7770662307739258, 0.22119127213954926, 0.670964241027832, 0.995413064956665, -0.743592381477356, -0.5787551403045654, 0.08762472122907639, 0.759315013885498, -0.09566111862659454, 0.21009397506713867, -0.07341012358665466, -0.19956733286380768, -0.820923924446106, 0.9970461130142212, 0.7941725254058838, -0.9297455549240112, 0.17244896292686462, 0.027737047523260117, -0.4657324552536011, -0.15562555193901062, -0.4074981212615967, -0.05034872144460678, -0.859420657157898, -0.9055303335189819, -0.8306483030319214, 0.3696173429489136, -0.02181069552898407, -0.25084948539733887, 0.3293663263320923, 0.3256171941757202]"
:man_gesturing_no_dark_skin_tone:,"[0.9664957523345947, 0.8284146189689636, -0.4993395209312439, 0.8133801221847534, -0.28561413288116455, -0.8852365612983704, -0.5694984197616577, -0.39480704069137573, 0.5396324396133423, -0.8884991407394409, 0.6107001304626465, 0.8514848947525024, -0.4926190674304962, 0.4037015736103058, 0.6432231664657593, -0.8231343030929565, 0.2353041023015976, -0.37176910042762756, 0.7439622282981873, -0.022950394079089165, -0.006257214117795229, 0.020492281764745712, 0.7581236362457275, 0.35016536712646484, 0.34590545296669006, 0.5437260866165161, -0.011169342324137688, -0.532252311706543, 0.7484117746353149, -0.39825960993766785, 0.2340177595615387, -0.15184560418128967, -0.35956090688705444, -0.20785164833068848, -0.037424810230731964, 0.7588167786598206, -0.9836412668228149, -0.8544416427612305, 0.32318657636642456, 0.9118805527687073, 0.557437539100647, -0.9148732423782349, -0.8787120580673218, 0.8301973342895508, 0.5021175742149353, 0.6937071681022644, 0.18882952630519867, 0.9825850129127502, 0.5505989193916321, -0.015157683752477169]"
:man_gesturing_no_light_skin_tone:,"[-0.8310070633888245, 0.8842995166778564, -0.21433457732200623, 0.06300514191389084, 0.8592642545700073, -0.6090667247772217, 0.6493901610374451, -0.0616096630692482, 0.554165244102478, -0.0841599628329277, 0.014188908040523529, -0.2664441764354706, -0.006605726201087236, 0.8885259628295898, 0.11809586733579636, 0.882152795791626, 0.8763833045959473, 0.5537445545196533, -0.7619571685791016, -0.06405439227819443, 0.64354407787323, 0.8516366481781006, 0.726814329624176, -0.8371635675430298, 0.00953519158065319, 0.5784146785736084, 0.7673461437225342, 0.9063123464584351, -0.0990302562713623, 0.08497937768697739, 0.7229610681533813, -0.9116017818450928, -0.34304720163345337, -0.9139666557312012, 0.5296088457107544, -0.21262075006961823, -0.8390880823135376, -0.6152404546737671, -0.27088937163352966, -0.7635266780853271, -0.833122968673706, -0.07402782887220383, 0.37182649970054626, -0.9079556465148926, 0.3231610953807831, 0.6143379211425781, -0.4843840003013611, -0.9653614163398743, -0.2025827020406723, -0.31582221388816833]"
:card_index_dividers:,"[0.9849976897239685, 0.6110250353813171, 0.11627567559480667, 0.6313259601593018, 0.6860555410385132, 0.7115441560745239, -0.01514729019254446, -0.19268345832824707, -0.15993493795394897, 0.6758965849876404, -0.104642853140831, -0.8284582495689392, 0.6628568172454834, -0.9865022897720337, 0.4391230344772339, 0.7119185924530029, -0.5234209299087524, 0.7253903746604919, -0.22449786961078644, 0.13311639428138733, -0.6369304656982422, -0.3829657733440399, -0.5958457589149475, -0.3341171443462372, 0.4111829400062561, -0.38037195801734924, -0.2466522753238678, -0.6580511331558228, -0.39673617482185364, 0.36805760860443115, 0.4302918314933777, -0.0036851170007139444, -0.6717255711555481, -0.08122730255126953, -0.18286851048469543, -0.2485625296831131, 0.55809485912323, -0.9426539540290833, -0.5145151615142822, -0.40403082966804504, -0.4319903254508972, -0.2665918171405792, -0.6800506711006165, -0.34430962800979614, -0.8301020264625549, 0.9328040480613708, 0.275835782289505, -0.17884142696857452, 0.4027288556098938, -0.6811226010322571]"
